,Language,Meaning,Phonological Form,cc,ASJP
79,English,hunt,hʊnt,hunt:H,hunt
81,Dutch,hunt,'jaɣə(n),hunt:B,yax3n
87,German,hunt,'ja:gn̩,hunt:B,yagn
94,Catalan,hunt,kə'sa,hunt:E,k3sa
95,Portuguese,hunt,kɐˈsaɾ,hunt:E,kasar
96,Spanish,hunt,ka'θaɾ,hunt:E,ka8ar
102,French,hunt,ʃase,hunt:E,Sase
108,Italian,hunt,kat'tʃare,hunt:E,kattSare
116,Breton,hunt,heˈmolxĩ,hunt:K,hemolxi
117,Breton,hunt,ʃaˈseal,hunt:Ac/E,Saseal
16,Greek,year,xro̞ˈɲa,year:J,xroNa
68,Bulgarian,year,ɡuˈdinə,year:H,gudin3
70,Russian,year,gɔd,year:H,god
71,Polish,year,rɔk,year:I,rok
73,Ukrainian,year,rʲik,year:I,rik
75,Czech,year,rɔk,year:I,rok
83,Icelandic,year,auːr,year:B,aur
88,Swedish,year,o:r,year:B,or
92,Danish,year,ɒˀ,year:B,o
97,English,year,jɪə,year:B,yi3
99,Dutch,year,jar,year:B,yar
104,German,year,ja:ɐ̯,year:B,yaa
114,Catalan,year,aɲ,year:F,aN
115,Portuguese,year,ˈɐnu,year:F,anu
116,Spanish,year,'aɲo,year:F,aNo
122,French,year,ɑ̃,year:F,o
128,Italian,year,'anno,year:F,anno
129,Romanian,year,an,year:F,an
134,Breton,year,"blwaːs, ˈbloas",year:G,blwasbloas
136,Irish,year,bʲlʲiənʲ,year:G,bli3n
16,Greek,this,afˈto̞s,this:B/D,aftos
17,Greek,this,(e̞)ˈtuto̞s,this:B/D,etutos
54,Hindi,this,jeː,this:H,ye
67,Bulgarian,this,ˈtɔzi,this:B,tozi
69,Russian,this,'ɛtɔt,this:B,Etot
70,Polish,this,tɛn,this:B,tEn
72,Ukrainian,this,tsɛj,this:B,tsEy
74,Czech,this,ˈtɛn(tɔ),this:B,tEnto
83,Icelandic,this,ˈθɛsːɪ,this:B,8Esi
88,Swedish,this,"dɛn, dɛ",this:B,dEndE
92,Danish,this,"ˈd̥ɛnə, ˈd̥ɛd̥ə",this:B,dEn3dEd3
97,English,this,ðɪs,this:B,8is
99,Dutch,this,"'dezə, dɪt",this:B,dez3dit
104,German,this,di:s,this:B,dis
112,Catalan,this,ə’kɛt,this:B/G/H,3kEt
113,Portuguese,this,ˈiʃtu,this:B/G/H,iStu
114,Spanish,this,'este,this:B/G/H,este
120,French,this,səsi,this:B/G/H,s3si
129,Italian,this,'kwesto,this:B/G/H,kwesto
130,Romanian,this,aˈʧesta,this:B/G/H,aCesta
12,Greek,fish,ˈpsari,fish:H,psari
40,Bengali,fish,"mɑtʃʰ, mɑs",fish:E,motSmos
57,Bulgarian,fish,ˈribə,fish:G,rib3
59,Russian,fish,'rɨba,fish:G,r3ba
60,Polish,fish,ˈrɘ̟ba,fish:G,r3ba
62,Ukrainian,fish,ˈrɪba,fish:G,riba
64,Czech,fish,ˈrɪba,fish:G,riba
72,Icelandic,fish,ˈfɪskʏr,fish:B,fiskir
77,Swedish,fish,fisk,fish:B,fisk
81,Danish,fish,fesg̥ʰ,fish:B,fesg
86,English,fish,fɪʃ,fish:B,fiS
88,Dutch,fish,vɪs,fish:B,vis
93,German,fish,fɪʃ,fish:B,fiS
99,Catalan,fish,peʃ,fish:B,peS
100,Portuguese,fish,ˈpɐiʃɨ,fish:B,paiS3
101,Spanish,fish,pes'kaðo,fish:B,peska8o
102,Spanish,fish,peθ,fish:B,pe8
108,French,fish,pwasɔ̃,fish:B,pwaso
114,Italian,fish,'peʃʃe,fish:B,peSSe
115,Romanian,fish,ˈpeʃte,fish:B,peSte
120,Breton,fish,ˈpesk,fish:B/C,pesk
12,Greek,rotten,ˈsapço̞s,rotten:Q,sapSos
57,Bulgarian,rotten,gniɫ,rotten:F,gniL
59,Russian,rotten,gnʲi'ɫɔj,rotten:F,gniLoy
60,Polish,rotten,zɡɲiwɘ̟,rotten:F,zgNiw3
62,Ukrainian,rotten,ɦnɪˈɫɪj,rotten:F,hniLiy
64,Czech,rotten,sxɲɪliː,rotten:F,sxNili
76,Icelandic,rotten,ˈrɔːtʰɪnː,rotten:B,rotin
77,Icelandic,rotten,ˈfuːɪnː,rotten:O,fuin
78,Icelandic,rotten,ˈmɔr̥kʰɪnː,rotten:R,morkin
90,Swedish,rotten,ˈmɵ̀rkən,rotten:R,m3rk3n
91,Swedish,rotten,ˈrɵ̀tːən,rotten:B,r3t3n
97,Danish,rotten,ˈʁʌðən,rotten:B,Go83n
106,English,rotten,'rɒtən,rotten:B,rot3n
108,Dutch,rotten,vər'sletə(n),rotten:U,v3rslet3n
110,Dutch,rotten,və'rɔt,rotten:B,v3rot
115,German,rotten,faŭl,rotten:O,faul
121,Catalan,rotten,puðɾit,rotten:O,pu8rit
123,Portuguese,rotten,ˈpodɾɨ,rotten:O,podr3
124,Spanish,rotten,poð'ɾiðo,rotten:O,po8ri8o
130,French,rotten,puʀi,rotten:O,puri
139,Italian,rotten,'martʃo,rotten:P,martSo
151,Breton,rotten,ˈbrejn,rotten:E,breyn
8,Greek,right,so̞ˈsto̞s,right:N,sostos
66,Bulgarian,right,ˈpravilɘn,right:K,pravil3n
68,Russian,right,'pravʲilʲnɨj,right:K,praviln3y
69,Polish,right,pɔˈpravnɘ̟,right:K,popravn3
71,Ukrainian,right,ˈpravɪlʲnɪj,right:K,pravilniy
73,Czech,right,ˈspraːvniː,right:K,spravni
81,Icelandic,right,ˈrjɛʰtːʏr,right:C,ryEtir
86,Swedish,right,ˈrɪ̀ktɪɡ,right:C,riktig
87,Swedish,right,rɛtː,right:C,rEt
91,Danish,right,ʁad̥ʰ,right:C,Gad
96,English,right,raɪt,right:C,rait
97,Dutch,right,ɣut,right:V,xut
98,Dutch,right,rɛχt,right:C,rEGt
99,Dutch,right,jœyst,right:L,yEist
100,Dutch,right,ɛχt,right:Y,EGt
101,Dutch,right,war,right:X,war
102,Dutch,right,rɛχt'matəɣ,right:C,rEGtmat3x
107,German,right,rɛçt,right:C,rESt
116,Catalan,right,"ku'rektə, ko'rɛkte",right:M,kurekt3korEkte
117,Catalan,right,rɛktə,right:C,rEkt3
118,Catalan,right,ʒus,right:L,Zus
119,Catalan,right,dɾɛt,right:C,drEt
120,Portuguese,right,kuˈʀɛtu,right:M,kurEtu
121,Portuguese,right,diˈɾɐjtu,right:C,diraytu
123,Spanish,right,ko'rekto,right:M,korekto
128,French,right,ʒyst,right:L,Zist
136,Italian,right,'dʒusto,right:L,dZusto
147,Breton,right,"ˈreːjs, ˈreːs",right:C,reysres
12,Greek,when,ˈpo̞te̞,when:A,pote
39,Bengali,when,kɒ'khɒn,when:A,kokhon
45,Hindi,when,kəb,when:A,k3b
58,Bulgarian,when,ku'ga,when:A,kuga
60,Russian,when,kag'da,when:A,kagda
61,Polish,when,ˈkʲɛdɘ̟,when:A,kEd3
63,Ukrainian,when,kɔˈɫɪ,when:A,koLi
65,Czech,when,ɡdɪ,when:A,gdi
73,Icelandic,when,"ˈxʷɛːnaiːr, kʰvɛːnaiːr",when:A,xEnairkvEnair
78,Swedish,when,næ:r,when:A,nEr
82,Danish,when,"vɒˈnɒˀ, nɒˀ",when:A,vonono
86,English,when,wɛn,when:A,wEn
88,Dutch,when,wɑ'ner,when:A,woner
93,German,when,van,when:A,van
99,Catalan,when,kwan,when:A,kwan
100,Portuguese,when,ˈkuɐ̃ðu,when:A,kua8u
101,Spanish,when,'kwando,when:A,kwando
107,French,when,kɑ̃,when:A,ko
113,Italian,when,'kwando,when:A,kwando
122,Irish,when,ˈkahənʲ,when:A,kah3n
15,Greek,drink,ˈpino̞,drink:C,pino
52,Hindi,drink,pinɑ,drink:C,pino
64,Bulgarian,drink,ˈpijə,drink:C,piy3
66,Russian,drink,pʲitʲ,drink:C,pit
67,Polish,drink,piʨ,drink:C,piC
69,Ukrainian,drink,ˈpɪtɪ,drink:C,piti
71,Czech,drink,piːt,drink:C,pit
77,Lithuanian,drink,ˈɡʲæ:ɾʲtʲɪ,drink:F,gErti
79,Icelandic,drink,ˈd̥rɛʰkːa,drink:B,drEka
84,Swedish,drink,ˈdrɪ̀kːa,drink:B,drika
88,Danish,drink,'dʁɛg̥ʰə,drink:B,dGEg3
93,English,drink,drɪŋk,drink:B,driNk
95,Dutch,drink,'drɪŋkə(n),drink:B,driNk3n
100,German,drink,'trɪŋkn̩,drink:B,triNkn
107,Catalan,drink,"ˈbɛwɾə, ˈbewɾe",drink:C,bEwr3bewre
108,Portuguese,drink,bɨˈbeɾ,drink:C,b3ber
109,Spanish,drink,be'βeɾ,drink:C,beber
115,French,drink,bwaʀ,drink:C,bwar
123,Italian,drink,'bere,drink:C,bere
124,Romanian,drink,a beː,drink:C,abe
131,Breton,drink,ˈeːvã,drink:C,eva
133,Welsh,drink,ˈəvɛd,drink:C,3vEd
134,Irish,drink,oːl̪ˠ,drink:C,ol
14,Greek,heavy,va'ris,heavy:M,varis
60,Bulgarian,heavy,ˈtɛʒək,heavy:H,tEZ3k
62,Russian,heavy,tʲa'ʐɔɫɨj,heavy:H,taZoL3y
63,Polish,heavy,ˈʨɛɰ̃ʐkʲi,heavy:H,CEwZki
65,Ukrainian,heavy,tʲaʐkɪj,heavy:H,taZkiy
67,Czech,heavy,ˈcɛʃkiː,heavy:H,TESki
76,Icelandic,heavy,ˈθuŋɡ̊ʏr,heavy:H,8uNgir
81,Swedish,heavy,svo:r,heavy:B,svor
82,Swedish,heavy,stur,heavy:B,stur
83,Swedish,heavy,tɵŋː,heavy:H,t3N
87,Danish,heavy,d̥ʰɔŋˀ,heavy:H,doN
92,English,heavy,'hɛvɪ,heavy:I,hEvi
96,Dutch,heavy,zwar,heavy:B,zwar
102,German,heavy,ʃve:ɐ̯,heavy:B,Svea
108,Catalan,heavy,pə'zan,heavy:F,p3zan
110,Portuguese,heavy,pɨˈzaðu,heavy:F,p3za8u
111,Spanish,heavy,pe'saðo,heavy:F,pesa8o
118,French,heavy,luʀ,heavy:O,lur
126,Italian,heavy,pe'sante,heavy:F,pesante
127,Italian,heavy,'grɛve,heavy:M,grEve
133,Breton,heavy,"'pɔ̃nɛr, 'pũnɛr",heavy:Aa/G,ponErpunEr
9,Greek,egg,avˈɣo̞,egg:A,avxo
54,Bulgarian,egg,jəjˈtsɛ,egg:A,y3ytsE
56,Russian,egg,jaj'tsɔ,egg:A,yaytso
57,Polish,egg,ˈjajkɔ,egg:A,yayko
59,Ukrainian,egg,jajˈtsɛ,egg:A,yaytsE
61,Czech,egg,ˈvɛjtsɛ,egg:A,vEytsE
69,Icelandic,egg,ɛɡ̊ː,egg:A,Eg
74,Swedish,egg,ɛgː,egg:A,Eg
78,Danish,egg,ɛˀg̥,egg:A,Eg
82,English,egg,ɛg,egg:A,Eg
85,Dutch,egg,ɛi,egg:A,Ei
90,German,egg,aĭ,egg:A,ai
96,Catalan,egg,ɔu,egg:A,ou
97,Portuguese,egg,'ovu,egg:A,ovu
98,Spanish,egg,'weβo,egg:A,webo
104,French,egg,œf,egg:A,Ef
110,Italian,egg,'wɔvo,egg:A,wovo
111,Romanian,egg,ow,egg:A,ow
117,Breton,egg,"ˈviː, ˈɥiː",egg:A,viyi
119,Irish,egg,"u:, uv",egg:A,uuv
14,Greek,earth,ʝi,earth:M,Si
15,Greek,earth,ˈxo̞ma,earth:I,xoma
80,Bulgarian,earth,zɘˈmʲa,earth:C,z3ma
82,Russian,earth,zʲɛm'lʲa,earth:C,zEmla
83,Polish,earth,ˈʑɛmja,earth:C,ZEmya
85,Ukrainian,earth,zɛˈmlʲa,earth:C,zEmla
87,Czech,earth,ˈzɛmɲɛ,earth:C,zEmNE
93,Lithuanian,earth,ˈʒʲæ:mʲe:,earth:C,ZEme
96,Icelandic,earth,jœrð,earth:B,yEr8
97,Icelandic,earth,mɔld,earth:H,mold
106,Swedish,earth,juːɖ,earth:B,yud
107,Swedish,earth,mɵlː,earth:H,m3l
112,Danish,earth,joˀɐ̯,earth:B,yoa
113,Danish,earth,mulˀ,earth:H,mul
119,English,earth,ɜ:θ,earth:B,38
121,Dutch,earth,'ardə,earth:B,ard3
126,German,earth,'e:ɐ̯də,earth:B,ead3
134,Catalan,earth,ˈtɛrə,earth:F,tEr3
135,Portuguese,earth,ˈtɛʀɐ,earth:F,tEra
138,Spanish,earth,'tjera,earth:F,tyera
144,French,earth,tɛʀ,earth:F,tEr
150,Italian,earth,'tɛrra,earth:F,tErra
167,Breton,earth,ˈduːar,earth:G,duar
11,Greek,dust,ˈsko̞ni,dust:J,skoni
64,Bulgarian,dust,prax,dust:H,prax
66,Russian,dust,pɨlʲ,dust:R,p3l
67,Polish,dust,pɘ̟w,dust:R,p3w
68,Polish,dust,kuʂ,dust:Ag,kuS
70,Ukrainian,dust,ˈpɔrɔx,dust:H,porox
72,Czech,dust,prax,dust:H,prax
83,Icelandic,dust,d̥ʏst,dust:Q,dist
84,Icelandic,dust,rɪːk,dust:I,rik
91,Swedish,dust,stɔft,dust:B,stoft
92,Swedish,dust,damː,dust:N,dam
96,Danish,dust,sd̥ʰø̞ˀw,dust:B,sdew
99,English,dust,dʌst,dust:Q,dost
101,Dutch,dust,stɔf,dust:B,stof
108,German,dust,ʃtaŭp,dust:B,Staup
115,Catalan,dust,pols,dust:F,pols
116,Portuguese,dust,puˈejɾɐ,dust:F,pueyra
117,Spanish,dust,'polβo,dust:F,polbo
123,French,dust,pusjɛʀ,dust:F,pusyEr
129,Italian,dust,'polvere,dust:F,polvere
137,Breton,dust,ˈpult(r),dust:Ah/F,pultr
13,Greek,laugh,ʝe̞ˈlo̞,laugh:D,Selo
53,Bulgarian,laugh,ˈsmɛjə sɛ,laugh:H,smEy3sE
55,Russian,laugh,smʲɛ'jatʲsʲa,laugh:H,smEyatsa
56,Polish,laugh,ɕmjatɕ ɕɛ(ɰ̃),laugh:H,SmyatSSEw
58,Ukrainian,laugh,smiˈjatɪsʲa,laugh:H,smiyatisa
60,Czech,laugh,smaːt sɛ,laugh:H,smatsE
67,Icelandic,laugh,ˈl̥aiːja,laugh:B,laiya
74,Swedish,laugh,ˈskràtːa,laugh:K,skrata
80,Danish,laugh,leˀ,laugh:B,le
85,English,laugh,lɑ:f,laugh:B,lof
88,Dutch,laugh,'lɑχə(n),laugh:B,loG3n
93,German,laugh,'laxn̩,laugh:B,laxn
99,Catalan,laugh,'riuwɾə,laugh:F,riuwr3
100,Portuguese,laugh,ɾiɾ,laugh:F,rir
101,Spanish,laugh,re'iɾ,laugh:F,reir
107,French,laugh,ʀiʀ,laugh:F,rir
113,Italian,laugh,'ridere,laugh:F,ridere
119,Breton,laugh,ˈxwarzin,laugh:G,xwarzin
121,Irish,laugh,ˈɡaːɾʲə,laugh:I,gar3
13,Greek,grass,xo̞rˈtari,grass:I,xortari
58,Bulgarian,grass,trɘˈva,grass:H,tr3va
60,Russian,grass,tra'va,grass:H,trava
61,Polish,grass,ˈtrava,grass:H,trava
63,Ukrainian,grass,traˈʋa,grass:H,trawa
65,Czech,grass,ˈtraːva,grass:H,trava
71,Lithuanian,grass,ʒoˈlʲe:,grass:J,Zole
73,Icelandic,grass,ˈɡ̊raːs,grass:B,gras
78,Swedish,grass,grɛ:s,grass:B,grEs
82,Danish,grass,g̥ʁas,grass:B,gGas
86,English,grass,grɑ:s,grass:B,gros
88,Dutch,grass,ɣrɑs,grass:B,xros
93,German,grass,gra:s,grass:B,gras
101,Catalan,grass,'erβə,grass:F,erb3
103,Portuguese,grass,ˈɛɾvɐ,grass:F,Erva
104,Spanish,grass,'jeɾβa,grass:F,yerba
110,French,grass,ɛʀb,grass:F,Erb
117,Italian,grass,'ɛrba,grass:F,Erba
118,Romanian,grass,ˈjarbə,grass:F,yarb3
11,Greek,sharp,ˌko̞fte̞ˈro̞s,sharp:J,kofteros
57,Bulgarian,sharp,ˈɔstər,sharp:C,ost3r
59,Russian,sharp,'ɔstrɨj,sharp:C,ostr3y
60,Polish,sharp,ˈɔstrɘ̟,sharp:C,ostr3
62,Ukrainian,sharp,ˈɦɔstrɪj,sharp:C,hostriy
64,Czech,sharp,ˈɔstriː,sharp:C,ostri
73,Icelandic,sharp,"xʷasː, kʰvasː",sharp:H,xaskvas
74,Icelandic,sharp,ˈskar̥pʰʏr,sharp:B,skarpir
75,Icelandic,sharp,ˈb̥eiʰtːʏr,sharp:K,beitir
86,Swedish,sharp,vasː,sharp:H,vas
87,Swedish,sharp,skarp,sharp:B,skarp
91,Danish,sharp,sg̥ʰɑ:b̥,sharp:B,sgob
97,English,sharp,ʃɑ:p,sharp:B,Sop
99,Dutch,sharp,sχɛrp,sharp:B,sGErp
105,German,sharp,ʃarf,sharp:B,Sarf
115,Portuguese,sharp,ɐfiˈadu,sharp:C,afiadu
116,Portuguese,sharp,ɐɡuˈsadu,sharp:C,agusadu
117,Spanish,sharp,afi'laðo,sharp:C,afila8o
118,Spanish,sharp,a'ɣuðo,sharp:C,axu8o
124,French,sharp,tʀɑ̃ʃɑ̃,sharp:I,troSo
131,Italian,sharp,taʎ'ʎɛnte,sharp:G,tallEnte
142,Irish,sharp,ɟeːɾˠ,sharp:L,Cer
18,Greek,wash,ˈple̞no̞,wash:D,pleno
60,Bulgarian,wash,ˈmijə,wash:I,miy3
62,Russian,wash,mɨtʲ,wash:I,m3t
63,Polish,wash,mɘ̟tɕ,wash:I,m3tS
65,Ukrainian,wash,ˈmɪtɪ,wash:I,miti
67,Czech,wash,miːt,wash:I,mit
76,Icelandic,wash,θvɔː,wash:J,8vo
77,Icelandic,wash,ˈvaska,wash:B,vaska
85,Swedish,wash,ˈtvɛ̀tːa,wash:J,tvEta
86,Swedish,wash,tvoː,wash:J,tvo
91,Danish,wash,ˈvasg̥ʰə,wash:B,vasg3
97,English,wash,wɒʃ,wash:B,woS
100,Dutch,wash,'wɑsə(n),wash:B,wos3n
105,German,wash,'vaʃn̩,wash:B,vaSn
114,Portuguese,wash,lɐˈvaɾ,wash:G,lavar
115,Spanish,wash,la'βaɾ,wash:G,labar
121,French,wash,lave,wash:G,lave
128,Italian,wash,la'vare,wash:G,lavare
137,Irish,wash,"nʲiː, nʲɪɟ",wash:O,niniC
16,Greek,person,ˈan̪θro̞ˌpo̞s,person:P,an8ropos
58,Bengali,person,manuʃ,person:A,manuS
83,Bulgarian,person,tʃuˈvɛk,person:N,tSuvEk
85,Russian,person,tʃila'vʲɛk,person:N,tSilavEk
86,Polish,person,ˈtʂwɔvjɛk,person:N,tSwovyEk
88,Ukrainian,person,lʲuˈdɪna,person:Ae,ludina
90,Czech,person,ˈtʃlɔvjɛk,person:N,tSlovyEk
101,Icelandic,person,ˈmaːðʏr,person:A,ma8ir
102,Icelandic,person,pʰɛrˈsouːna,person:D,pErsouna
110,Swedish,person,pæˈʂu:n,person:D,pESun
117,Danish,person,b̥ʰæɐ̯ˈson,person:D,bEason
122,English,person,'pɜ:sən,person:D,p3s3n
124,Dutch,person,ˈpɛrson,person:D,pErson
125,Dutch,person,mɛns,person:A,mEns
132,German,person,mɛnʃ,person:A,mEnS
142,Catalan,person,pəɾˈsonə,person:D,p3rson3
144,Spanish,person,'ombɾe,person:E,ombre
151,French,person,pɛʀsɔn,person:D,pErson
164,Italian,person,per'sona,person:D,persona
166,Romanian,person,om,person:E,om
174,Breton,person,ˈdeːn,person:E,den
178,Irish,person,dɪnʲə,person:E,din3
14,Greek,dog,ˈscilo̞s,dog:G,sTilos
15,Greek,dog,ˈcio̞n,dog:A,Tion
49,Bengali,dog,"kukuɾ, kukuɽ",dog:D,kukurkukur
55,Hindi,dog,kʊt̪ːaː,dog:H,kuta
67,Bulgarian,dog,ˈkutʃɘ,dog:K,kutS3
69,Russian,dog,sa'baka,dog:A,sabaka
70,Polish,dog,pjɛs,dog:E,pyEs
72,Ukrainian,dog,pɛs,dog:E,pEs
73,Ukrainian,dog,sɔˈbaka,dog:A,sobaka
75,Czech,dog,pɛs,dog:E,pEs
81,Lithuanian,dog,ʃʊo,dog:A,Suo
84,Icelandic,dog,ˈhʏnd̥ʏr,dog:A,hindir
85,Icelandic,dog,ˈraʰkːɪ,dog:Q,raki
94,Swedish,dog,hɵnd,dog:A,h3nd
98,Danish,dog,hunˀ,dog:A,hun
105,Dutch,dog,hɔnt,dog:A,hont
110,German,dog,hʊnt,dog:A,hunt
117,Catalan,dog,gos,dog:L,gos
118,Portuguese,dog,kɐ̃ũ,dog:A,kau
125,French,dog,ʃi ɛ̃,dog:A,SiE
132,Italian,dog,'kane,dog:A,kane
133,Romanian,dog,ˈkɨjne,dog:A,k3yne
141,Breton,dog,ˈkiː,dog:A,ki
143,Welsh,dog,ki,dog:A,ki
144,Irish,dog,ku:,dog:A,ku
145,Irish,dog,ˈmˠad̪ˠɾˠə,dog:I,madr3
16,Greek,tie,ˈðe̞no̞,tie:J,8eno
64,Bulgarian,tie,ˈvrɤzvəm,tie:F,vrozv3m
66,Russian,tie,vʲa'zatʲ,tie:G,vazat
67,Polish,tie,ˈvjɔɰ̃zatɕ,tie:G,vyowzatS
69,Ukrainian,tie,ʋjaˈzatɪ,tie:G,wyazati
71,Czech,tie,ˈvaːzat,tie:G,vazat
80,Icelandic,tie,ˈb̥ɪnd̥a,tie:B,binda
81,Icelandic,tie,ˈn̥iːtʰa,tie:O,nita
92,Swedish,tie,ˈbɪ̀nda,tie:B,binda
93,Swedish,tie,ˈknỳːta,tie:O,knita
100,Danish,tie,ˈb̥enə,tie:B,ben3
101,Danish,tie,ˈɡ̊ʰnydə,tie:O,gnid3
110,English,tie,taɪ,tie:H,tai
113,Dutch,tie,'knopə(n),tie:O,knop3n
114,Dutch,tie,'bɪndə(n),tie:B,bind3n
119,German,tie,'bɪndn̩,tie:B,bindn
127,Catalan,tie,ʎi'ɣa,tie:C,lixa
128,Portuguese,tie,ɐˈtaɾ,tie:Q,atar
130,Spanish,tie,a'taɾ,tie:Q,atar
136,French,tie,lje,tie:C,lye
142,Italian,tie,le'gare,tie:C,legare
10,Greek,feather,fte̞ˈro̞,feather:A,ftero
57,Bulgarian,feather,pɘˈrɔ,feather:D,p3ro
59,Russian,feather,pʲɛ'rɔ,feather:D,pEro
60,Polish,feather,ˈpjurɔ,feather:D,pyuro
62,Ukrainian,feather,pɛˈrɔ,feather:D,pEro
64,Czech,feather,ˈpɛːrɔ,feather:D,pEro
72,Icelandic,feather,fjœːðʏr,feather:A,fyE8ir
77,Swedish,feather,ˈfjɛ:dər,feather:A,fyEd3r
82,Danish,feather,fjeˀɐ̯,feather:A,fyea
86,English,feather,'fɛðə,feather:A,fE83
88,Dutch,feather,ver,feather:A,ver
93,German,feather,'fe:dɐ,feather:A,feda
100,Catalan,feather,'plomə,feather:E,plom3
102,Portuguese,feather,ˈpenɐ,feather:A,pena
103,Spanish,feather,'pluma,feather:E,pluma
109,French,feather,plym (dwazo),feather:E,plimdwazo
118,Italian,feather,'pjuma,feather:E,pyuma
127,Breton,feather,"ˈplyːɛn, ˈplỹːven",feather:E/M,pliEnpliven
12,Greek,meat,ˈkre̞ˌas,meat:I,kreas
56,Bulgarian,meat,mɘˈsɔ,meat:C,m3so
58,Russian,meat,'mʲasɔ,meat:C,maso
59,Polish,meat,ˈmjɛɰ̃sɔ,meat:C,myEwso
61,Ukrainian,meat,mjasɔ,meat:C,myaso
63,Czech,meat,ˈmasɔ,meat:C,maso
72,Icelandic,meat,kʰjœːt,meat:F,kyEt
73,Icelandic,meat,hɔld̥,meat:H,hold
81,Swedish,meat,mɑ:t,meat:C,mot
82,Swedish,meat,ɕœtː,meat:F,SEt
87,Danish,meat,ɡ̊ʰøð,meat:F,ge8
88,Danish,meat,ˈhulˀ,meat:H,hul
